,gene_pair,A1,A2,ols_p,ols_coef,n_A2_lost,A2_lost_mean_quant_A1,A2_other_mean_quant_A1,p_adj,compensation,collateral_loss,sorted_gene_pair,bronze_standard_SL,strict_comb_hit,lenient_comb_hit,in_PC_CORUM,in_PC_CORUM_essential,in_PC_CORUM_both,in_PC_EBI,in_PC_humap,closest_pair,famsize2,other_dir_comp,other_dir_cl,dataset,FDR_threshold
1631,KPNA2_KPNA6,KPNA2,KPNA6,0.00014450531188533682,0.2231763035172536,72,24.45837371125047,24.185484280356594,0.0019471984209209986,True,False,KPNA2_KPNA6,,,,True,True,False,True,True,False,False,,,pancan,0.05
1632,KPNA3_KPNA6,KPNA3,KPNA6,0.0011406425989063682,0.1160714510423908,72,25.152154031590353,25.079338797714012,0.009388207913160883,True,False,KPNA3_KPNA6,False,,,True,True,False,True,True,False,False,True,False,pancan,0.05
1633,KPNA6_KPNA1,KPNA6,KPNA1,0.04915153083393947,0.060356545710735496,42,24.972122965191744,25.059054366200346,0.14790790042782312,False,False,KPNA1_KPNA6,,,,True,True,False,True,True,True,False,True,False,pancan,0.05
1634,KPNA2_KPNA1,KPNA2,KPNA1,0.12085820404697714,0.11944803133742997,41,23.924522152848485,24.130149013345864,0.27873696455326435,False,False,KPNA1_KPNA2,,,,True,True,False,True,True,False,False,,,pancan,0.05
1635,KPNA3_KPNA1,KPNA3,KPNA1,0.1948816155243209,0.06018730506192606,42,24.959420845167518,25.069367442732286,0.3764142086070494,False,False,KPNA1_KPNA3,False,,,True,True,True,True,True,False,False,True,False,pancan,0.05
1636,KPNA6_KPNA4,KPNA6,KPNA4,0.05673912613455234,0.07998163031090795,21,24.970274642580883,25.038280744992502,0.16372983460684468,False,False,KPNA4_KPNA6,,,,False,False,False,True,True,False,False,True,False,pancan,0.05
1637,KPNA2_KPNA4,KPNA2,KPNA4,0.6414077577550512,0.05022778820713,20,23.731741797694873,24.053737004729168,0.7891060160045984,False,False,KPNA2_KPNA4,,,,True,True,False,True,True,False,False,,,pancan,0.05
1638,KPNA3_KPNA4,KPNA3,KPNA4,0.663721916573972,0.027317900767624657,21,25.048837888794136,25.051850708684096,0.8054622353069588,False,False,KPNA3_KPNA4,False,,,True,True,False,True,True,True,False,True,False,pancan,0.05
1639,PGM1_PGM5,PGM1,PGM5,0.29162040783486703,0.04334018491129192,99,28.077535654211083,27.827245390564105,0.48511362818269216,False,False,PGM1_PGM5,,False,False,False,False,False,False,True,True,True,False,False,pancan,0.05
1640,GLT8D2_GLT8D1,GLT8D2,GLT8D1,0.0009062287816212604,-0.2023388456710753,118,20.581199125410507,20.159740892759608,0.00791446601839665,False,True,GLT8D1_GLT8D2,False,,,False,False,False,False,False,True,True,,,pancan,0.05
